repo_name,owner,repo_url,description,language,topics,stars,updated_at,input,snapshot_id,snapshot_date,categories,primary_category
streamlit/streamlit,streamlit,https://github.com/streamlit/streamlit,,Python,"['python', 'data-science', 'machine-learning', 'deep-learning', 'data-visualization']",45580,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
catboost/catboost,catboost,https://github.com/catboost/catboost,,C++,"['python', 'data-science', 'machine-learning', 'data-mining', 'tutorial']",9072,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
mozilla/bugbug,mozilla,https://github.com/mozilla/bugbug,,Python,"['python', 'machine-learning', 'ai', 'ml', 'developer-tools']",568,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
flodl-labs/flodl,flodl-labs,https://github.com/flodl-labs/flodl,,Rust,"['rust', 'machine-learning', 'deep-learning', 'graph']",60,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
mikeoliphant/NeuralAudio,mikeoliphant,https://github.com/mikeoliphant/NeuralAudio,,C++,"['machine-learning', 'lstm', 'wavenet', 'nam', 'neural-amp-modeler']",144,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
NeuroTechX/moabb,NeuroTechX,https://github.com/NeuroTechX/moabb,,Python,"['machine-learning', 'neuroscience', 'eeg', 'bci', 'brain-computer-interface']",1038,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
Kiln-AI/Kiln,Kiln-AI,https://github.com/Kiln-AI/Kiln,,Python,"['python', 'windows', 'macos', 'machine-learning', 'ai']",5029,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
qualcomm/aimet,qualcomm,https://github.com/qualcomm/aimet,,Python,"['open-source', 'machine-learning', 'opensource', 'deep-neural-networks', 'compression']",2683,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
xorbitsai/inference,xorbitsai,https://github.com/xorbitsai/inference,,Python,"['machine-learning', 'deployment', 'transformers', 'inference', 'pytorch']",9504,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
mrcanlaco/Dao-Vang-Peak-Pulse,mrcanlaco,https://github.com/mrcanlaco/Dao-Vang-Peak-Pulse,,Python,"['python', 'agent', 'finance', 'machine-learning', 'crypto']",90,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,AI Agents|Core ML & Deep Learning,AI Agents
