repo_name,owner,repo_url,description,language,topics,stars,updated_at,input_url,input_search_query,input_max_pages,warning,warning_code,error,error_code,snapshot_id,snapshot_date
NVIDIA/cuvs,NVIDIA,https://github.com/NVIDIA/cuvs,,Cuda,"[""machine-learning"",""information-retrieval"",""statistics"",""clustering"",""gpu""]",834,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
strands-labs/ai-functions,strands-labs,https://github.com/strands-labs/ai-functions,,Python,"[""python"",""machine-learning"",""ai"",""llm"",""genai""]",302,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
xberg-io/liter-llm,xberg-io,https://github.com/xberg-io/liter-llm,,Rust,"[""python"",""rust"",""machine-learning"",""streaming"",""typescript""]",249,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
harvard-edge/cs249r_book,harvard-edge,https://github.com/harvard-edge/cs249r_book,,Python,"[""machine-learning"",""deep-learning"",""artificial-intelligence"",""textbook"",""courseware""]",27953,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
JuliaLang/julia,JuliaLang,https://github.com/JuliaLang/julia,,Julia,"[""programming-language"",""science"",""machine-learning"",""hpc"",""julia""]",49010,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
emdgroup/baybe,emdgroup,https://github.com/emdgroup/baybe,,Python,"[""machine-learning"",""optimization"",""bayesian-optimization"",""active-learning"",""design-of-experiments""]",498,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
root-project/root,root-project,https://github.com/root-project/root,,C++,"[""visualization"",""python"",""c-plus-plus"",""machine-learning"",""statistics""]",3283,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
darkdevil3610/100-AI-Machine-learning-Deep-learning-Computer-vision-NLP,darkdevil3610,https://github.com/darkdevil3610/100-AI-Machine-learning-Deep-learning-Computer-vision-NLP,,Unknown,"[""python"",""nlp"",""data-science"",""machine-learning"",""computer-vision""]",376,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
VowpalWabbit/vowpal_wabbit,VowpalWabbit,https://github.com/VowpalWabbit/vowpal_wabbit,,C++,"[""c-plus-plus"",""machine-learning"",""reinforcement-learning"",""cpp"",""active-learning""]",8705,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
scikit-learn/scikit-learn,scikit-learn,https://github.com/scikit-learn/scikit-learn,,Python,"[""python"",""data-science"",""machine-learning"",""statistics"",""data-analysis""]",66969,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
