repo_name,owner,repo_url,description,language,topics,stars,updated_at,input_url,input_search_query,input_max_pages,warning,warning_code,error,error_code
bodo-ai/Bodo,bodo-ai,https://github.com/bodo-ai/Bodo,,Python,"[""python"",""data-science"",""machine-learning"",""sql"",""big-data""]",374,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
inclusionAI/AReno,inclusionAI,https://github.com/inclusionAI/AReno,,Python,"[""agent"",""machine-learning"",""reinforcement-learning"",""self-hosted"",""rl""]",291,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
NVIDIA/torch-harmonics,NVIDIA,https://github.com/NVIDIA/torch-harmonics,,Jupyter Notebook,"[""machine-learning"",""signal-processing"",""sphere"",""pytorch""]",697,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
skypilot-org/skypilot,skypilot-org,https://github.com/skypilot-org/skypilot,,Python,"[""machine-learning"",""deep-learning"",""gpu"",""job-scheduler"",""slurm""]",10511,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
allenai/ScienceWorld,allenai,https://github.com/allenai/ScienceWorld,,Scala,"[""machine-learning"",""reinforcement-learning"",""language-model"",""text-based-game"",""text-based-game-framework""]",381,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
google-ai-edge/mediapipe,google-ai-edge,https://github.com/google-ai-edge/mediapipe,,C++,"[""android"",""c-plus-plus"",""calculator"",""machine-learning"",""framework""]",36665,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
mozilla/bugbug,mozilla,https://github.com/mozilla/bugbug,,Python,"[""python"",""machine-learning"",""ai"",""ml"",""developer-tools""]",569,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
SciML/ReservoirComputing.jl,SciML,https://github.com/SciML/ReservoirComputing.jl,,Julia,"[""machine-learning"",""julia"",""rnn"",""differential-equations"",""echo-state-networks""]",232,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
deepspeedai/DeepSpeed,deepspeedai,https://github.com/deepspeedai/DeepSpeed,,Python,"[""machine-learning"",""compression"",""deep-learning"",""gpu"",""inference""]",42961,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
PriorLabs/tabpfn-extensions,PriorLabs,https://github.com/PriorLabs/tabpfn-extensions,,Python,"[""data-science"",""machine-learning"",""tabular-data"",""tabpfn""]",323,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
grandgaming9321-prog/reality-engine,grandgaming9321-prog,https://github.com/grandgaming9321-prog/reality-engine,,HTML,"[""python"",""open-source"",""machine-learning"",""reinforcement-learning"",""ai""]",123,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
reunios2024/cortex-sentinel-trading-nexus,reunios2024,https://github.com/reunios2024/cortex-sentinel-trading-nexus,,HTML,"[""python"",""machine-learning"",""reinforcement-learning"",""trading-bot"",""pytorch""]",118,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
JuliaLang/julia,JuliaLang,https://github.com/JuliaLang/julia,,Julia,"[""programming-language"",""science"",""machine-learning"",""hpc"",""julia""]",49018,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
screenpipe/screenpipe,screenpipe,https://github.com/screenpipe/screenpipe,,Rust,"[""machine-learning"",""privacy"",""ai"",""computer-vision"",""mcp""]",21110,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
onlyoneshakibul/magic-eraser-studio,onlyoneshakibul,https://github.com/onlyoneshakibul/magic-eraser-studio,,HTML,"[""machine-learning"",""computer-vision"",""image-processing"",""image-editing"",""artificial-intelligence""]",115,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
jaimasih05-commits/swarm-foraging-qlearn,jaimasih05-commits,https://github.com/jaimasih05-commits/swarm-foraging-qlearn,,HTML,"[""python"",""machine-learning"",""reinforcement-learning"",""simulation"",""decision-making""]",117,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
MakazhanAlpamys/Soup,MakazhanAlpamys,https://github.com/MakazhanAlpamys/Soup,,Python,"[""python"",""cli"",""machine-learning"",""transformers"",""pytorch""]",2410,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
paperless-ngx/paperless-ngx,paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,,Python,"[""pdf"",""machine-learning"",""django"",""angular"",""ocr""]",44412,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
huggingface/transformers,huggingface,https://github.com/huggingface/transformers,,Python,"[""audio"",""python"",""nlp"",""machine-learning"",""natural-language-processing""]",164264,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
Sujal-142/ai-image-clean-eraser,Sujal-142,https://github.com/Sujal-142/ai-image-clean-eraser,,HTML,"[""machine-learning"",""ocr"",""computer-vision"",""image-processing"",""image-editing""]",119,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
